V_hel,D_mpc,lg_Re,eps_e,vsig_e,lam_e,NGC,LABEL,Filter,arcsec,mu,alpha,beta,gamma,gamma_dash,rms,r_gamma,r_gamma_pc,rotator,group
1712,24.2,1.77,0.062,0.037,0.032,NGC5846,core,F555W,2.00,18.57,2.01,1.72,-0.03,-0.02,0.04,1.32,154.98,S,a
1663,26.2,1.26,0.575,0.761,0.678,NGC5854,power-law,F814W,0.30,14.00,0.27,3.86,-1.10,1.01,0.07,0.02,2.44,F,e
2832,42.9,1.22,0.409,0.521,0.576,NGC6278,power-law,-,0.60,16.30,0.80,1.62,0.55,0.67,-,0.1,20.7,F,e
2373,25.9,1.34,0.019,0.043,0.041,NGC6703,power-law,F555W,0.07,14.86,5.00,1.12,0.20,0.95,0.01,0.06,7.60,S,a
1845,23.7,1.33,0.363,0.606,0.557,NGC7280,power-law,F606W,0.10,14.00,3.47,1.26,0.53,0.87,0.04,0.1,11.4,F,e
844,12.9,1.56,0.470,0.546,0.519,NGC7457,power-law,-,0.22,16.33,1.00,1.05,-0.10,0.61,-,0.04,2.50,F,e
1728,28.0,1.03,0.137,0.252,0.277,UGC0455,intermediate,-,2.26,17.67,2.20,2.16,0.49,0.49,-,0.22,30.04,F,e
2634,38.7,1.05,0.449,0.472,0.475,UGC0606,power-law,-,2.75,18.96,0.90,1.81,0.80,0.82,-,0.1,18.7,F,e


